iter	Passed	Remaining
0	0	72
1	1	65
2	1	61
3	2	56
4	2	55
5	3	53
6	3	52
7	4	52
8	5	51
9	5	50
10	6	49
11	6	49
12	7	48
13	7	48
14	8	47
15	8	46
16	9	46
17	10	45
18	10	44
19	11	44
20	11	43
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	17	36
33	18	35
34	19	35
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	29
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
