iter	Passed	Remaining
0	139	139494
1	140	70004
2	140	46857
3	141	35254
4	142	28309
5	142	23679
6	143	20422
7	144	17940
8	145	15998
9	145	14443
10	146	13172
11	147	12114
12	147	11219
13	148	10450
14	148	9779
15	149	9192
16	150	8674
17	150	8212
18	151	7802
19	151	7431
20	152	7096
21	152	6790
22	153	6513
23	153	6258
24	154	6022
25	154	5804
26	155	5603
27	156	5424
28	157	5267
29	158	5125
30	159	4980
31	159	4837
32	160	4702
33	161	4577
34	161	4461
35	162	4347
36	162	4240
37	163	4137
38	163	4040
39	164	3953
40	165	3868
41	166	3786
42	166	3706
43	167	3629
44	167	3557
45	168	3487
46	168	3420
47	169	3356
48	169	3295
49	170	3244
50	171	3196
51	172	3147
52	173	3098
53	173	3047
54	174	3000
55	175	2953
56	175	2909
57	176	2865
58	177	2825
59	177	2784
60	178	2745
61	178	2706
62	179	2668
63	180	2632
64	180	2597
65	181	2563
66	181	2530
67	182	2498
68	182	2467
69	183	2437
70	184	2407
71	184	2380
72	185	2357
73	186	2333
74	187	2310
75	188	2286
76	188	2261
77	189	2236
78	189	2214
79	190	2190
80	191	2167
81	191	2146
82	192	2121
83	192	2100
84	193	2081
85	193	2061
86	194	2044
87	195	2026
88	196	2007
89	196	1990
90	197	1973
91	198	1956
92	198	1940
93	200	1935
94	202	1927
95	203	1917
96	204	1904
97	205	1890
98	206	1876
99	207	1864
100	208	1852
101	208	1839
102	209	1827
103	210	1813
104	211	1801
105	212	1788
106	212	1775
107	213	1763
108	214	1754
109	216	1750
110	217	1741
111	218	1729
112	218	1718
113	219	1707
114	220	1696
115	221	1685
116	221	1673
117	222	1663
118	223	1652
119	223	1641
120	224	1631
121	225	1620
122	225	1610
123	226	1601
124	227	1591
125	228	1582
126	229	1576
127	230	1573
128	231	1566
129	232	1557
130	233	1549
131	234	1541
132	235	1532
133	235	1523
134	236	1515
135	237	1507
136	238	1499
137	238	1491
138	239	1484
139	240	1476
140	241	1469
141	241	1460
142	242	1453
143	243	1447
144	244	1440
145	245	1433
146	246	1428
147	246	1421
148	247	1413
149	248	1405
150	248	1398
151	249	1390
152	249	1383
153	250	1375
154	251	1368
155	251	1362
156	252	1355
157	253	1348
158	253	1342
159	254	1336
160	255	1329
161	256	1325
162	256	1319
163	257	1314
164	259	1310
165	260	1308
166	261	1303
167	262	1297
168	262	1292
169	263	1286
170	264	1281
171	265	1275
172	265	1270
173	266	1264
174	267	1259
175	267	1254
176	268	1249
177	269	1245
178	270	1240
179	271	1235
180	272	1230
181	273	1227
182	274	1224
183	275	1222
184	276	1219
185	277	1214
186	278	1209
187	279	1205
188	279	1200
189	280	1195
190	281	1191
191	281	1186
192	282	1181
193	283	1176
194	283	1172
195	284	1167
196	285	1162
197	285	1158
198	286	1154
199	287	1149
200	288	1146
201	289	1143
202	290	1141
203	291	1138
204	292	1134
205	293	1130
206	293	1126
207	294	1122
208	295	1118
209	296	1113
210	296	1109
211	297	1106
212	298	1102
213	299	1098
214	299	1095
215	300	1091
216	301	1087
217	302	1083
218	302	1079
219	303	1077
220	304	1074
221	305	1070
222	306	1066
223	306	1062
224	307	1059
225	308	1055
226	309	1052
227	309	1048
228	310	1045
229	311	1041
230	311	1038
231	312	1034
232	313	1031
233	313	1027
234	314	1023
235	315	1019
236	315	1016
237	316	1012
238	316	1008
239	317	1005
240	318	1002
241	319	1000
242	320	997
243	320	994
244	321	991
245	322	987
246	322	984
247	323	980
248	324	977
249	324	973
250	325	970
251	325	966
252	326	963
253	326	960
254	327	957
255	328	953
256	328	950
257	329	946
258	329	943
259	330	940
260	331	937
261	331	934
262	332	931
263	333	929
264	334	927
265	335	925
266	335	922
267	336	918
268	337	915
269	337	913
270	338	910
271	339	907
272	339	904
273	340	901
274	340	898
275	341	896
276	342	893
277	342	890
278	343	887
279	343	884
280	344	881
281	345	878
282	345	875
283	346	872
284	346	870
285	347	867
286	348	866
287	349	864
288	350	862
289	351	859
290	351	856
291	352	854
292	353	851
293	353	849
294	354	846
295	354	843
296	355	840
297	355	838
298	356	835
299	357	833
300	357	830
301	358	827
302	358	825
303	359	822
304	359	820
305	360	817
306	361	815
307	361	813
308	362	811
309	363	809
310	364	807
311	365	805
312	365	802
313	366	800
314	367	798
315	367	796
316	368	794
317	369	792
318	369	789
319	370	787
320	371	785
321	371	783
322	372	780
323	373	778
324	373	776
325	374	774
326	375	772
327	375	770
328	376	768
329	377	766
330	378	765
331	379	764
332	380	761
333	381	759
334	381	757
335	382	755
336	382	753
337	383	751
338	384	749
339	384	747
340	385	745
341	386	742
342	386	740
343	387	738
344	387	736
345	388	734
346	389	732
347	389	730
348	390	728
349	391	726
350	391	724
351	392	723
352	393	722
353	394	720
354	395	718
355	395	716
356	396	714
357	397	712
358	397	710
359	398	708
360	399	706
361	399	704
362	400	703
363	401	701
364	402	699
365	403	698
366	403	696
367	404	694
368	405	692
369	405	691
370	406	689
371	408	688
372	409	688
373	411	689
374	412	687
375	413	686
376	414	684
377	414	682
378	415	680
379	416	678
380	416	677
381	417	675
382	418	673
383	418	671
384	419	669
385	425	676
386	426	674
387	426	672
388	427	671
389	427	669
390	428	667
391	428	665
392	429	663
393	430	661
394	430	659
395	431	657
396	431	656
397	432	654
398	433	652
399	433	650
400	434	648
401	434	646
402	435	645
403	436	643
404	437	642
405	438	641
406	439	640
407	439	638
408	440	636
409	441	634
410	441	633
411	442	631
412	442	629
413	443	627
414	444	625
415	444	624
416	445	622
417	445	620
418	446	618
419	446	617
420	447	615
421	448	613
422	448	611
423	449	610
424	449	608
425	450	607
426	451	605
427	452	604
428	453	603
429	453	601
430	454	600
431	455	598
432	455	596
433	456	595
434	456	593
435	457	591
436	457	589
437	458	588
438	459	586
439	459	585
440	460	583
441	460	581
442	461	580
443	461	578
444	462	576
445	463	575
446	463	573
447	464	572
448	464	570
449	465	569
450	466	567
451	467	567
452	468	565
453	469	564
454	469	562
455	470	561
456	471	559
457	471	558
458	472	557
459	473	555
460	473	553
461	474	552
462	474	550
463	475	549
464	476	547
465	476	546
466	477	544
467	477	543
468	478	541
469	478	539
470	479	538
471	480	536
472	481	536
473	481	534
474	482	533
475	483	532
476	484	530
477	484	529
478	485	528
479	486	526
480	486	525
481	487	523
482	488	522
483	488	520
484	489	519
485	489	518
486	490	516
487	490	515
488	491	513
489	492	512
490	492	510
491	493	509
492	493	507
493	494	506
494	495	505
495	496	504
496	497	503
497	498	502
498	498	500
499	499	499
500	499	497
